id_compra;numero_controle_pncp;numero_processo;lei_14133;uasg;sigla_campus;unidade_nome;modalidade;objeto;responsavel_declaracao;cargo_declaracao;responsavel_ratificacao;cargo_ratificacao;valor_estimado;valor_homologado;situacao;data_publicacao;amparo_legal_nome;origem_master
15845305000112016;;23347.022748.2016;False;158453;PP;INST.FED.DE ED.,CIENC.E TEC.DE MT/C.P.PORÃ;PREGÃO;Objeto: Pregão Eletrônico - A presente licitação tem como objeto a contratação de empresa especializada para prestação de Serviço Terceirizado de Gestão de Estação de Tratamento de Esgoto incluindo Operação, apresentação de laudo de análises e acompanhamento do sistema de tratamento aeróbico e anaeróbico, realizando a manutenção preditiva, preventiva e corretiva com fornecimento de mão de obra, materiais maquinário necessário para a realização dos serviços e pleno funcionamento da Estação de Tratamento do Esgoto (ETE) do Campus Ponta Porã, conforme condições e especificações constantes no Edital da licitação e no Termo de Referencia e seus anexos.;EDISON SILVA SOSA;Pregoeiro;;;207000.00;192000.00;homologado;2016-12-09;;LEG_E3
15845305000022017;;23347005429201724;False;158453;PP;INST.FED.DE ED.,CIENC.E TEC.DE MT/C.P.PORÃ;PREGÃO;Objeto: Pregão Eletrônico - Contratação de empresa especializada para a instalação de Sistema de Alarme de Incêndio e sistema de acionamento da bomba de incêndio com manutenção geral do quadro de comando das bombas de incêndio nas edificações do IFMS - Campus Ponta Porã com fornecimento de mão-de-obra qualificada e material, conforme condições, quantidades, exigências e especificações técnicas exigidas pelas Normas do Corpo de Bombeiros Militar do Estado do Mato Grosso do Sul e demais especificações estabelecidas no Termo de Referência. A empresa deverá executar toda a instalação, configuração e testes dos equipamentos para que o sistema de Alarme e Sistema de Acionamento da Bomba de Incêndio e sistema de alarme possa ser utilizado pela instituição. A instalação do Sistema será nas edificações do IFMS Campus Ponta Porã- MS, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;EDISON SILVA SOSA;Pregoeiro;;;87401.66;30500.00;homologado;2017-04-26;;LEG_E3
15845305000042017;;23347004243201758;False;158453;PP;INST.FED.DE ED.,CIENC.E TEC.DE MT/C.P.PORÃ;PREGÃO;Objeto: Pregão Eletrônico - Aquisição de materiais de expediente que atenderão ao Planejamento Anual de compras, e também as licitações dos exercícios 2017/2018, para reposição do estoque do almoxarifado e atender as diversas atividades administrativa e pedagógicas do Campus ponta Porã.;JOAO PAULO GONZALEZ GONCALVES;Pregoeiro;;;335826.99;257389.07;homologado;2017-06-02;;LEG_E3
15845305000032017;;23347.011889.2017;False;158453;PP;INST.FED.DE ED.,CIENC.E TEC.DE MT/C.P.PORÃ;PREGÃO;Objeto: Pregão Eletrônico - O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de empresa especializada para a prestação de serviços terceirizados de limpeza, asseio e conservação, copeiragem, jardinagem, oficial Pleno (oficial de Manutenção) e Auxiliar de Campo com dedicação exclusiva de mão de obra, fornecimento de uniformes, materiais dominossanitários e equipamentos para o exercício dos trabalhos nas dependências do IFMS Campus Ponta Porã localizado a BR 463 KM 14- Sanga Puitã - Ponta Porã-MS e demais áreas sob responsabilidade do IFMS (CRETA Centro de Referência em Tecnologia Agropecuária) localizado na Av. Vinicius Soares do Nascimento, km 05 - CEP: 79.9000-000 - Ponta Porã MS, conforme condições, quantidades e exigências estabelecidas no edital e demais anexos.;EDISON SILVA SOSA;Pregoeiro;;;515130.31;0.00;aberto;2017-06-13;;LEG_E3
15845305000012018;;23347021182201792;False;158453;PP;INST.FED.DE ED.,CIENC.E TEC.DE MT/C.P.PORÃ;PREGÃO;Objeto: Pregão Eletrônico - O objeto da presente licitação é o registro de preços para eventual contratação de empresa especializada para prestação de serviço de agenciamento de viagens, compreendendo os serviços de cotação de preços, reservas, emissão, cancelamento e remarcação de bilhetes de passagens para transporte rodoviário interestadual e intermunicipal, incluindo as taxas de embarque para atender as necessidades do campus Ponta Porã e demais unidades do IFMS.;EDISON SILVA SOSA;Diretor de Administração;;;126817.87;0.00;suspenso;2018-01-15;;LEG_E3
15845305000032018;;01037970087201851;False;158453;PP;INST.FED.DE ED.,CIENC.E TEC.DE MT/C.P.PORÃ;PREGÃO;Objeto: Pregão Eletrônico - Registro de preços para eventual contratação de empresa especializada para a prestação de serviços terceirizados de limpeza, asseio e conservação com encarregado, jardinagem, copeiragem e oficial de manutenção com dedicação exclusiva de mão de obra, fornecimento de uniformes, materiais dominossanitários e equipamentos para o exercício dos trabalhos nas dependências do IFMS Campus Ponta Porã e Campus Aquidauana.;EDISON SILVA SOSA;Pregoeiro.;;;1235296.68;990730.20;homologado;2018-05-30;;LEG_E3
15845305000022018;;23347004996201844;False;158453;PP;INST.FED.DE ED.,CIENC.E TEC.DE MT/C.P.PORÃ;PREGÃO;Objeto: Pregão Eletrônico - O objeto da presente licitação é o registro de preços para eventual contratação de empresa especializada para prestação de serviço de agenciamento de viagens, compreendendo os serviços de cotação de preços, reservas, emissão, cancelamento e remarcação de bilhetes de passagens para transporte rodoviário interestadual e intermunicipal, incluindo as taxas de embarque para atender as necessidades do campus Ponta Porã e participantes.;CRISTINA APARECIDA CORREA AJALA;Coordenadora de Materiais;;;91757.32;91639.00;homologado;2018-06-08;;LEG_E3
15845305000042018;;23347006680201897;False;158453;PP;INST.FED.DE ED.,CIENC.E TEC.DE MT/C.P.PORÃ;PREGÃO;Objeto: Pregão Eletrônico - Trata-se de Licitação para concessão de Uso de Espaço Físico (Bem Público) para fins Comerciais no ramo de Restaurante /Cantina/, de área com 96,11 m² do Prédio do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul IFMS Campus Ponta Porã, localizado na Rodovia BR 463 KM 14 - Sanga Puitã - Ponta Porã-MS Cep: 79-909-000, conforme especificações descritas neste Edital e no Termo de Referência;EDISON SILVA SOSA;Pregoeiro;;;23.75;13.87;homologado;2018-07-12;;LEG_E3
15845305000052018;;23347009135201852;False;158453;PP;INST.FED.DE ED.,CIENC.E TEC.DE MT/C.P.PORÃ;PREGÃO;Objeto: Pregão Eletrônico - O objeto da presente licitação é o Registro de Preços para futura e provável aquisição de materiais e equipamentos para uso no IF Maker (Laboratório de Prototipação) do IFMS - Campus Ponta Porã e órgãos participantes, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;JOAO PAULO GONZALEZ GONCALVES;Pregoeiro;;;189179.11;12487.15;homologado;2018-08-14;;LEG_E3
15845305000062018;;23347001389201822;False;158453;PP;INST.FED.DE ED.,CIENC.E TEC.DE MT/C.P.PORÃ;PREGÃO;Objeto: Pregão Eletrônico - Aquisição de reagentes químicos e materiais de laboratório para realização das aulas práticas dos cursos de graduação do nível médio, para atender as demandas básicas para manutenção dos laboratórios de Química e Biologia do IFMS - Campus Ponta Porã.;EDISON SILVA SOSA;Diretor de Administração;;;74265.75;40200.82;homologado;2018-09-13;;LEG_E3
