codigo_pdm;codigo_natureza;nome_natureza;grupo;status_natureza
7261;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
7703;44905233;EQUIPAMENTOS E MATERIAL PERMANENTE - EQUIPAMENTOS PARA AUDIO, VIDEO E FOTO;permanente;Ativo
8105;44905210;EQUIPAMENTOS E MATERIAL PERMANENTE - APARELHOS E EQUIP. P/ ESPORTES E DIVERSOES;permanente;Ativo
8305;33903016;MATERIAL DE CONSUMO - MATERIAL DE EXPEDIENTE;consumo;Ativo
8305;33903209;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL PARA DIVULGACAO;consumo;Ativo
852;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
852;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
853;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
853;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
8751;33903205;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MERCADORIAS PARA DOACAO;consumo;Ativo
8751;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
8751;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
8753;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
883;33903205;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MERCADORIAS PARA DOACAO;consumo;Ativo
883;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
883;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
8974;33903022;MATERIAL DE CONSUMO - MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO;consumo;Ativo
8974;33903028;MATERIAL DE CONSUMO - MATERIAL DE PROTECAO E SEGURANCA;consumo;Ativo
948;33903205;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MERCADORIAS PARA DOACAO;consumo;Ativo
948;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
948;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
9608;44905233;EQUIPAMENTOS E MATERIAL PERMANENTE - EQUIPAMENTOS PARA AUDIO, VIDEO E FOTO;permanente;Ativo
9732;33903030;MATERIAL DE CONSUMO - MATERIAL PARA COMUNICACOES;consumo;Ativo
9732;44905233;EQUIPAMENTOS E MATERIAL PERMANENTE - EQUIPAMENTOS PARA AUDIO, VIDEO E FOTO;permanente;Ativo
979;44905233;EQUIPAMENTOS E MATERIAL PERMANENTE - EQUIPAMENTOS PARA AUDIO, VIDEO E FOTO;permanente;Ativo
9806;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
99;33903016;MATERIAL DE CONSUMO - MATERIAL DE EXPEDIENTE;consumo;Ativo
99;33909292;DESPESAS DE EXERCICIOS ANTERIORES - MATERIAL DE CONSUMO;consumo;Ativo
99;33903205;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MERCADORIAS PARA DOACAO;consumo;Ativo
99;33903207;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL PARA CERIMONIAL;consumo;Ativo
99;33903209;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL PARA DIVULGACAO;consumo;Ativo
99;44903016;MATERIAL DE CONSUMO - MATERIAL DE EXPEDIENTE;permanente;Ativo
