id_licitacao_pncp;id_ata_pncp;numero_ata;numero_item;material_cod;material_nome;fornecedor_cnpj;fornecedor_nome;valor_unitario;qtd_homologada;valor_total_item
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00297;446633;QUEIJO, ORIGEM DE VACA, VARIEDADE MUÇARELA, APRESENTAÇÃO PEÇA;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;33.95;388.0;13172.6
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00298;463839;VERDURA IN NATURA, TIPO REPOLHO BRANCO/ VERDE;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;3.46;624.0;2159.04
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00354;459586;FERMENTO, TIPO QUÍMICO, APRESENTAÇÃO PÓ;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;2.75;255.0;701.25
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00355;241343;FÓSFORO, MATERIAL CORPO MADEIRA, COR CABEÇA VERMELHA, TIPO LONGO;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;3.6;20.0;72.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00356;470688;FARINHA DE MILHO, GRÃO AMARELO, TIPO FUBÁ, CARACTERÍSTICA ADICIONAL NÃO TRANSGÊNICO;10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;3.3;165.0;544.5
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00360;447702;EMBUTIDO, TIPO LINGUIÇA CALABRESA, TAMANHO GROSSA, TIPO PREPARAÇÃO DEFUMADA, ESTADO DE CONSERVAÇÃO RESFRIADO(A);10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;15.0;577.0;8655.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00362;464401;FRUTA, TIPO MAÇÃ FUJI, APRESENTAÇÃO NATURAL;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;8.37;754.0;6310.98
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00363;458955;MACARRÃO, TEOR DE UMIDADE MASSA SECA, BASE DA MASSA DE SÊMOLA/SEMOLINA, INGREDIENTES ADICIONAIS COM OVOS, APRESENTAÇÃO ESPAGUETE;10144274000108;ZELLITEC COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;3.2;1454.0;4652.8
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00373;447781;FRIOS, VARIEDADE MORTADELA, TIPO BOLOGNA, TIPO PREPARAÇÃO DEFUMADO, APRESENTAÇÃO FATIADO, ESTADO DE CONSERVAÇÃO RESFRIADO(A);40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;14.5;30.0;435.0
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00374;416665;ÓLEO VEGETAL, MATÉRIA PRIMA SOJA, TIPO DEGOMADO;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;6.19;1131.0;7000.89
10673078000120-1-000094/2023;10673078000120-1-000094/2023-000001;00011/2024;00375;463916;CONDIMENTO, TIPO ORÉGANO, APRESENTAÇÃO DESIDRATADO;40572454000151;V4 COMERCIO DE ALIMENTOS LTDA;35.95;58.0;2085.1
